pc,explained_variance_ratio,cumulative
PC1,0.005283439351596466,0.005283439351596466
PC2,0.011781505918405705,0.01706494527000217
PC3,0.008362148257898125,0.025427093527900298
PC4,0.006289161428851043,0.031716254956751344
PC5,0.005939665443382526,0.03765592040013387
PC6,0.005701937205642116,0.04335785760577599
PC7,0.005267765597146974,0.04862562320292296
PC8,0.004202712996300519,0.05282833619922348
PC9,0.0037727809198967255,0.056601117119120206
PC10,0.0035873689535766266,0.060188486072696834
PC11,0.003289730645169744,0.06347821671786658
PC12,0.003129030107190744,0.06660724682505732
PC13,0.0029240302557973236,0.06953127708085464
PC14,0.0028049521477021746,0.07233622922855681
PC15,0.0025438452149937757,0.07488007444355059
PC16,0.0024854896504363,0.07736556409398689
PC17,0.0022448649365205977,0.07961042903050748
PC18,0.0021317700118531706,0.08174219904236066
PC19,0.0019962840043878183,0.08373848304674848
PC20,0.001890741612419865,0.08562922465916835
PC21,0.001854709423632173,0.08748393408280052
PC22,0.001838862285767913,0.08932279636856844
PC23,0.0017516009140420823,0.09107439728261052
PC24,0.0017425497026166351,0.09281694698522716
PC25,0.0016088709828379552,0.09442581796806512
